pair_index,time_ms,weight,delta
0,0.0,124,-4
1,100.0,120,-4
2,200.0,116,-4
3,300.0,112,-4
4,400.0,108,-4
5,500.0,104,-4
6,600.0,100,-4
7,700.0,96,-4
8,800.0,92,-4
9,900.0,88,-4
10,1000.0,84,-4
11,1100.0,80,-4
12,1200.0,76,-4
13,1300.0,72,-4
14,1400.0,68,-4
15,1500.0,64,-4
16,1600.0,60,-4
17,1700.0,56,-4
18,1800.0,52,-4
19,1900.0,48,-4
20,2000.0,44,-4
21,2100.0,40,-4
22,2200.0,36,-4
23,2300.0,32,-4
24,2400.0,28,-4
25,2500.0,24,-4
26,2600.0,20,-4
27,2700.0,16,-4
28,2800.0,12,-4
29,2900.0,8,-4
30,3000.0,4,-4
31,3100.0,0,-4
32,3200.0,0,0
33,3300.0,0,0
34,3400.0,0,0
35,3500.0,0,0
36,3600.0,0,0
37,3700.0,0,0
38,3800.0,0,0
39,3900.0,0,0
40,4000.0,0,0
41,4100.0,0,0
42,4200.0,0,0
43,4300.0,0,0
44,4400.0,0,0
45,4500.0,0,0
46,4600.0,0,0
47,4700.0,0,0
48,4800.0,0,0
49,4900.0,0,0
50,5000.0,0,0
51,5100.0,0,0
52,5200.0,0,0
53,5300.0,0,0
54,5400.0,0,0
55,5500.0,0,0
56,5600.0,0,0
57,5700.0,0,0
58,5800.0,0,0
59,5900.0,0,0
60,6000.0,0,0
61,6100.0,0,0
62,6200.0,0,0
63,6300.0,0,0
64,6400.0,0,0
65,6500.0,0,0
66,6600.0,0,0
67,6700.0,0,0
68,6800.0,0,0
69,6900.0,0,0
70,7000.0,0,0
71,7100.0,0,0
72,7200.0,0,0
73,7300.0,0,0
74,7400.0,0,0
75,7500.0,0,0
76,7600.0,0,0
77,7700.0,0,0
78,7800.0,0,0
79,7900.0,0,0
80,8000.0,0,0
81,8100.0,0,0
82,8200.0,0,0
83,8300.0,0,0
84,8400.0,0,0
85,8500.0,0,0
86,8600.0,0,0
87,8700.0,0,0
88,8800.0,0,0
89,8900.0,0,0
90,9000.0,0,0
91,9100.0,0,0
92,9200.0,0,0
93,9300.0,0,0
94,9400.0,0,0
95,9500.0,0,0
96,9600.0,0,0
97,9700.0,0,0
98,9800.0,0,0
99,9900.0,0,0
100,10000.0,0,0
101,10100.0,0,0
102,10200.0,0,0
103,10300.0,0,0
104,10400.0,0,0
105,10500.0,0,0
106,10600.0,0,0
107,10700.0,0,0
108,10800.0,0,0
109,10900.0,0,0
110,11000.0,0,0
111,11100.0,0,0
112,11200.0,0,0
113,11300.0,0,0
114,11400.0,0,0
115,11500.0,0,0
116,11600.0,0,0
117,11700.0,0,0
118,11800.0,0,0
119,11900.0,0,0
